,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
2525,CRP,30004148,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,26.0,"50,1","626,66",9,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2526,CRP,30004149,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,D,Desligamento                                      ,M,26.0,"34,6","591,9",1,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2527,CRP,30004150,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,4,C,Conclusao                                      ,M,29.0,"69,1","627,02",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2528,CRP,30004151,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,25.0,"50,6","600,74",5,N,c. Pardo(a).,d. Entre 5 e 7 Salarios Minimos,publica,N,N,N,N,N
2529,CRP,30004156,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,36.0,"45,5","558,34",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
2530,CRP,30004158,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,42.0,"23,3","552,78",9,N,c. Pardo(a).,a. ate 1 Salario Minimo,Privada,N,N,N,N,N
2531,CRP,30004159,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,D,Desligamento                                      ,M,31.0,42,"633,42",9,N,a. Branco(a).,f. Entre 10 e 20 Salarios Minimos,publica,N,N,N,N,N
2532,CRP,30004160,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,M,26.0,"39,9","616,88",5,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2533,CRP,30004162,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,26.0,83,"630,92",5,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2534,CRP,30004163,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,25.0,"57,8","574,48",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2535,CRP,30004164,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,2,A,Estudante em abandono de curso                    ,M,37.0,"56,9","596,06",1,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2536,CRP,30004165,105,Sistemas de Informacao - Noturno,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2016.0,1,D,Desligamento                                      ,M,28.0,"38,3",,0,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2537,CRP,30004166,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,30.0,"39,5","513,06",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2538,CRP,30004167,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,M,25.0,6,"529,7",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2539,CRP,30004168,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,34.0,"53,3","640,74",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2540,CRP,30004169,105,Sistemas de Informacao - Noturno,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2015.0,2,D,Desligamento                                      ,M,54.0,"22,6","513,52",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2541,CRP,30004171,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,D,Desligamento                                      ,M,48.0,"62,3","641,08",9,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,publica,N,N,N,N,N
2542,CRP,30004172,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,4,C,Conclusao                                      ,M,30.0,"54,1","622,38",9,N,d. Amarelo(a).,e. Entre 7 e 10 Salarios Minimos,publica,N,N,N,N,N
2543,CRP,30004173,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,25.0,"22,6","571,9",9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2544,CRP,30004176,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,30.0,"19,6","488,76",1,N,b. Preto(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2545,CRP,30004180,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,33.0,"33,7","479,54",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2546,CRP,30004186,105,Sistemas de Informacao - Noturno,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2014.0,1,A,Estudante em abandono de curso                    ,M,39.0,"3,4","528,56",9,N,,,publica,N,N,N,N,N
2547,CRP,30004187,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,M,26.0,18,"533,22",5,N,,,publica,N,N,N,N,N
