Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Você se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentação,Iniciação Científica,Extensão
CRP,30006833,109,Ciências Contábeis,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,39,"78,2","521,08",5,N,b. Preto(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006834,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,,,N,Normal                                            ,F,28,"68,5","398,08",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006835,103,Agronomia,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2019,0,A,Estudante em abandono de curso                    ,F,24,"29,5","547,44",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006836,108,Engenharia Civil,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,26,"48,5","597,4",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006837,102,Administração - Noturno,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,25,"64,1","535,62",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006840,101,Administração - Integral,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,22,"67,5","513,02",3,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006842,109,Ciências Contábeis,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,1,A,Estudante em abandono de curso                    ,F,42,"28,5","462,56",1,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006844,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,D,Desligamento                                      ,F,27,"28,4","513,42",1,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006849,106,Ciência e Tecnologia de Alimentos,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,2,A,Estudante em abandono de curso                    ,F,25,0,"505,82",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006853,106,Ciência e Tecnologia de Alimentos,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,2,D,Desligamento                                      ,F,22,"7,6","438,32",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006858,108,Engenharia Civil,2017,1,L,SISU - Sistema de Seleção Unificada               ,2020,3,A,Estudante em abandono de curso                    ,F,22,"64,8","539,98",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006859,106,Ciência e Tecnologia de Alimentos,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,2,A,Estudante em abandono de curso                    ,F,23,"39,4","513,42",5,N,b. Preto(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
